# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_Mixed_Size
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 87 train / 22 val studies
Epoch 040/500 | train_loss=0.3147 | val_dice=0.3563 | val_iou=0.2523 | val_f1=0.3563 | val_acc=0.9908 | lr=0.000930
Epoch 041/500 | train_loss=0.3142 | val_dice=0.3763 | val_iou=0.2699 | val_f1=0.3763 | val_acc=0.9896 | lr=0.000928
Epoch 042/500 | train_loss=0.3090 | val_dice=0.3852 | val_iou=0.2775 | val_f1=0.3852 | val_acc=0.9881 | lr=0.000926
Epoch 043/500 | train_loss=0.3110 | val_dice=0.3875 | val_iou=0.2798 | val_f1=0.3875 | val_acc=0.9901 | lr=0.000924
Epoch 044/500 | train_loss=0.3018 | val_dice=0.3941 | val_iou=0.2843 | val_f1=0.3941 | val_acc=0.9897 | lr=0.000922
Epoch 045/500 | train_loss=0.3012 | val_dice=0.3989 | val_iou=0.2903 | val_f1=0.3989 | val_acc=0.9908 | lr=0.000920
Epoch 046/500 | train_loss=0.2965 | val_dice=0.3952 | val_iou=0.2869 | val_f1=0.3952 | val_acc=0.9909 | lr=0.000919
Epoch 047/500 | train_loss=0.3055 | val_dice=0.3994 | val_iou=0.2888 | val_f1=0.3994 | val_acc=0.9914 | lr=0.000917
Epoch 048/500 | train_loss=0.3001 | val_dice=0.3942 | val_iou=0.2869 | val_f1=0.3942 | val_acc=0.9896 | lr=0.000915
Epoch 049/500 | train_loss=0.2979 | val_dice=0.4064 | val_iou=0.2969 | val_f1=0.4064 | val_acc=0.9901 | lr=0.000913
Epoch 050/500 | train_loss=0.3060 | val_dice=0.4056 | val_iou=0.2965 | val_f1=0.4056 | val_acc=0.9916 | lr=0.000911
Epoch 051/500 | train_loss=0.2986 | val_dice=0.4021 | val_iou=0.2944 | val_f1=0.4021 | val_acc=0.9910 | lr=0.000910
Epoch 052/500 | train_loss=0.2913 | val_dice=0.3956 | val_iou=0.2890 | val_f1=0.3956 | val_acc=0.9900 | lr=0.000908
Epoch 053/500 | train_loss=0.3024 | val_dice=0.4010 | val_iou=0.2915 | val_f1=0.4010 | val_acc=0.9910 | lr=0.000906
Epoch 054/500 | train_loss=0.2990 | val_dice=0.3906 | val_iou=0.2850 | val_f1=0.3906 | val_acc=0.9911 | lr=0.000904
Epoch 055/500 | train_loss=0.2814 | val_dice=0.3984 | val_iou=0.2936 | val_f1=0.3984 | val_acc=0.9905 | lr=0.000902
Epoch 056/500 | train_loss=0.2856 | val_dice=0.4178 | val_iou=0.3099 | val_f1=0.4178 | val_acc=0.9916 | lr=0.000900
Epoch 057/500 | train_loss=0.2925 | val_dice=0.4066 | val_iou=0.2990 | val_f1=0.4066 | val_acc=0.9915 | lr=0.000899
Epoch 058/500 | train_loss=0.2847 | val_dice=0.4111 | val_iou=0.2989 | val_f1=0.4111 | val_acc=0.9894 | lr=0.000897
Epoch 059/500 | train_loss=0.2818 | val_dice=0.4040 | val_iou=0.2918 | val_f1=0.4040 | val_acc=0.9919 | lr=0.000895
Epoch 060/500 | train_loss=0.2803 | val_dice=0.4086 | val_iou=0.2977 | val_f1=0.4086 | val_acc=0.9895 | lr=0.000893
