epoch,train_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_accuracy,val_hausdorff,val_hausdorff_95,val_fp_per_volume,val_fp_per_image,val_ap,val_mAP,lr
1,0.662847846031189,0.3219407759606838,0.20333781302906573,0.23155525024048984,0.6091415686532855,0.3219404104165733,0.9804747104644775,219.0081114768982,98.80448794364929,0.016605615615844727,0.016605615615844727,0.26736059901304543,0.0,0.0002
2,0.5311161533594132,0.45911691896761225,0.3175557274385767,0.3506710794771236,0.7566786874181833,0.4591165576130157,0.9866434633731842,241.11109352111816,116.72935584187508,0.011270105838775635,0.011270105838775635,0.5336544338788372,0.049112367210909724,0.0004
3,0.4095123713612556,0.4706994993637377,0.3343117265055948,0.3648396339301653,0.7637825030929651,0.4706991277635108,0.9869996607303619,218.55102252960205,66.34700393676758,0.010968923568725586,0.010968923568725586,0.44645244209095836,0.05673705879598856,0.0006
4,0.34304406541585925,0.48082104511756646,0.3361242366974448,0.376926818865045,0.746476026261529,0.48082065768539983,0.9881640374660492,103.46173632144928,70.58472621440887,0.009600669145584106,0.009600669145584106,0.45444074807164725,0.030355571303516626,0.0008
5,0.3080488241314888,0.5412339157110182,0.4011596558448218,0.5052818146823483,0.631569079187102,0.5412334657921747,0.9919930100440979,86.27701658010483,34.00263004004955,0.004646360874176025,0.004646360874176025,0.44844927924350486,0.07926423754543066,0.001
6,0.2997093155682087,0.6206606347147765,0.4792579272795858,0.5484020309575146,0.7698573544717636,0.6206602249294535,0.9936808943748474,83.10833141207695,27.862467229366302,0.004545241594314575,0.004545241594314575,0.5726829102649162,0.1434130473062396,0.0009909954834128342
7,0.2565406883060932,0.6171636176295578,0.4756863280199468,0.6758841602131724,0.6097971121780574,0.617163157556206,0.9943569600582123,111.0739093720913,36.55253228545189,0.001904606819152832,0.001904606819152832,0.5673089417396113,0.13090648921206594,0.000989193491307027
8,0.233293072193861,0.715399531647563,0.5701181013137102,0.6132915150374174,0.9129593595862389,0.7153990939259529,0.9950706362724304,73.38669043779373,10.774391174316406,0.004015058279037476,0.004015058279037476,0.7279409188777208,0.25722976261749864,0.000987391134388305
9,0.19350805765390397,0.7405458576977253,0.6109078610315919,0.7587238512933254,0.7498310673981905,0.7405453845858574,0.9958033561706543,94.04419288039207,10.93950341641903,0.0014959871768951416,0.0014959871768951416,0.6837441809475422,0.2843294315971434,0.0009855884118426005
10,0.1727184739112854,0.7548432387411594,0.6150216367095709,0.6443499494343996,0.9415059871971607,0.7548427805304527,0.9957077205181122,59.85606959462166,5.486306056380272,0.003712892532348633,0.003712892532348633,0.7337326593697071,0.2918977867811918,0.0009837853228523705
11,0.1437129514813423,0.793614698573947,0.6659929044544697,0.7869464941322803,0.8176649939268827,0.7936142105609179,0.9964711964130402,70.51637625694275,17.85753244161606,0.0016807615756988525,0.0016807615756988525,0.7423389442265034,0.32911314629018307,0.0009819818665965754
12,0.13870073127746582,0.8135948516428471,0.6910971067845821,0.7585271000862122,0.8933767043054104,0.8135943785309792,0.9967553913593292,56.731468975543976,3.988365039229393,0.0021053850650787354,0.0021053850650787354,0.7705203909426928,0.38076252210885286,0.0009801780422506556
13,0.13480073727667333,0.7958124168217182,0.6672534365206957,0.7223547361791134,0.9050071202218533,0.7958119288086891,0.9964196085929871,59.915488839149475,3.77923534065485,0.0025442540645599365,0.0025442540645599365,0.7495443765074015,0.34321846067905426,0.0009783738489865113
14,0.11594209976494313,0.8205091208219528,0.7011274620890617,0.7680678777396679,0.8975563384592533,0.8205086253583431,0.9969265162944794,67.18593856692314,3.814995728433132,0.0021693408489227295,0.0021693408489227295,0.7695214599370956,0.37965306593105197,0.000976569285972478
15,0.10815753914415836,0.8424546793103218,0.732872499153018,0.8096726313233376,0.8868574537336826,0.8424542024731636,0.9972729086875916,55.3100084066391,2.793981984257698,0.001602470874786377,0.001602470874786377,0.8004477005451918,0.4399577919393778,0.0009747643523733044
16,0.11364432109892368,0.8399520367383957,0.7271954417228699,0.8313537053763866,0.8627814687788486,0.8399515636265278,0.9973702728748322,60.109183847904205,2.707639627158642,0.0015466809272766113,0.0015466809272766113,0.7947192713618279,0.429797344841063,0.0009729590473501306
17,0.10347595237195492,0.8390524089336395,0.7263731099665165,0.8664378188550472,0.8207863122224808,0.8390519097447395,0.9973489344120026,54.84227380156517,2.3751064389944077,0.0010989010334014893,0.0010989010334014893,0.7883856035768986,0.42986586643382907,0.0009711533700604632
18,0.09698353554308414,0.8549385219812393,0.748579166829586,0.8157209046185017,0.9072071276605129,0.8549380414187908,0.9975257813930511,54.473436906933784,2.158082790672779,0.0017238259315490723,0.0017238259315490723,0.8111795522272587,0.4648319762200117,0.0009693473196581535
19,0.08861033479869365,0.8694748505949974,0.7721060290932655,0.8667827360332012,0.8792338222265244,0.8694743737578392,0.9978344440460205,52.9194401204586,1.99688221514225,0.0010531246662139893,0.0010531246662139893,0.8406913541257381,0.5380428852513433,0.0009675408952933734
20,0.08873269021511078,0.863937970250845,0.7620266936719418,0.8484294712543488,0.8865236267447472,0.8639374896883965,0.9976794123649597,54.62936383485794,2.1233882308006287,0.001311957836151123,0.001311957836151123,0.833569411188364,0.5062621049582958,0.0009657340961125918
21,0.08680791921913623,0.8447166010737419,0.7331902757287025,0.7908552400767803,0.9142621122300625,0.8447161391377449,0.9973228573799133,55.56741754710674,2.482986405491829,0.001985400915145874,0.001985400915145874,0.7954558804631233,0.4308012677356601,0.0009639269212585509
22,0.08599714648723603,0.8691435754299164,0.7714960612356663,0.8471131026744843,0.8962814956903458,0.8691430911421776,0.9976490437984467,52.958196103572845,1.9284463003277779,0.0013692080974578857,0.0013692080974578857,0.8297517113387585,0.5222804467193782,0.0009621193698702417
23,0.08293255092203618,0.8536261506378651,0.7467571273446083,0.8163379654288292,0.9019998125731945,0.8536256738007069,0.9974101483821869,54.21983979642391,2.2964062318205833,0.001704573631286621,0.001704573631286621,0.8064917586743832,0.4561789655126631,0.0009603114410828803
24,0.09307857158780097,0.8441178873181343,0.7341081351041794,0.780854906886816,0.9310469329357147,0.8441174179315567,0.997223287820816,56.586646258831024,3.2253303676843643,0.0022464990615844727,0.0022464990615844727,0.8029982522130013,0.445855260360986,0.0009585031340278833
25,0.08293523040413857,0.8783505968749523,0.7844492830336094,0.8634657114744186,0.8992183320224285,0.8783501125872135,0.9979465305805206,54.45638084411621,2.0494528487324715,0.0012643635272979736,0.0012643635272979736,0.8482455499470234,0.5326662920415401,0.0009566944478328421
26,0.07863284648954869,0.8552139289677143,0.7503560855984688,0.790120292454958,0.9411211088299751,0.8552134670317173,0.9974453449249268,57.99761751294136,3.9354192465543747,0.0020643770694732666,0.0020643770694732666,0.8102340288460255,0.49359242990612984,0.0009548853816214997
27,0.07727762275934219,0.8391403798013926,0.7406690698117018,0.8099176799878478,0.9037903174757957,0.8391399085521698,0.9972228109836578,54.801868468523026,6.952519088983536,0.002029120922088623,0.002029120922088623,0.7954748934134841,0.48434597067534924,0.0009530759345137246
28,0.0797548186480999,0.8397873006761074,0.7271635681390762,0.7661748714745045,0.9381548203527927,0.8397868387401104,0.9972835183143616,66.95049911737442,12.154470711946487,0.0021912753582000732,0.0021912753582000732,0.787188220769167,0.43071355298161507,0.0009512661056254851
29,0.08360854272544384,0.8779257163405418,0.7839273847639561,0.8827469758689404,0.8794266320765018,0.8779252395033836,0.9980083703994751,53.175372406840324,1.8647431209683418,0.0009527206420898438,0.0009527206420898438,0.837489403784275,0.5278932172805071,0.0009494558940688246
30,0.07215706700086594,0.873090110719204,0.7766461223363876,0.859796829521656,0.8908247649669647,0.8730896413326263,0.9978191256523132,54.494790464639664,2.0325806364417076,0.0012284517288208008,0.0012284517288208008,0.8260507434606552,0.5066830422729254,0.0009476452989518352
31,0.07390121179819108,0.8464483059942722,0.7377029769122601,0.7676041796803474,0.9532484710216522,0.8464478217065334,0.9972441792488098,58.44622457027435,4.051843479275703,0.002371072769165039,0.002371072769165039,0.7976242825388908,0.46279762499034405,0.000945834319378632
32,0.07122587203979493,0.8752119541168213,0.7808629497885704,0.8346650451421738,0.9262012653052807,0.8752114735543728,0.997724860906601,54.9305801987648,2.2899065613746643,0.001660764217376709,0.001660764217376709,0.8329364322125912,0.5299502164125443,0.000944022954449327
33,0.06927779027819633,0.8731553368270397,0.7768934220075607,0.8474933467805386,0.9080136530101299,0.8731548599898815,0.9978452920913696,56.55427822470665,2.9159206598997116,0.0014074146747589111,0.0014074146747589111,0.831088799983263,0.5311893317848444,0.0009422112032600019
34,0.0692982472628355,0.8635161481797695,0.7617395333945751,0.8394704684615135,0.8948390074074268,0.8635156825184822,0.9976731240749359,48.8167122900486,6.400025799870491,0.0014009475708007812,0.0014009475708007812,0.8131939768791199,0.488509064540267,0.0009403990649026824
35,0.07705665230751038,0.8754281401634216,0.7840108815580606,0.8699779026210308,0.8919644467532635,0.8754276782274246,0.997785896062851,64.02321046590805,10.302754513919353,0.0013165473937988281,0.0013165473937988281,0.845167875289917,0.5556315872818232,0.0009385865384653104
36,0.06684741193056107,0.8766671419143677,0.7824338972568512,0.8435396924614906,0.9189094454050064,0.8766666762530804,0.997779905796051,54.44491642713547,2.4267467111349106,0.001560121774673462,0.001560121774673462,0.8312218002974987,0.5302459225058556,0.0009367736230317175
37,0.06561410181224346,0.884438369423151,0.7940821312367916,0.8797324597835541,0.8955987319350243,0.8844378888607025,0.9980470836162567,61.60348363220692,1.7876912131905556,0.0011380016803741455,0.0011380016803741455,0.8424037359654903,0.5516046900302172,0.0009349603176815974
38,0.06946725826710462,0.849171657115221,0.7440780159085989,0.7773400899022818,0.9501723125576973,0.8491711877286434,0.9974711835384369,68.82836601138115,14.978690303862095,0.0021182596683502197,0.0021182596683502197,0.8004004433751106,0.4723184425383806,0.0009331466214904777
39,0.06698345494270325,0.862104058265686,0.7593084871768951,0.888382401317358,0.8425172567367554,0.8621035739779472,0.9977746605873108,64.39652341604233,3.2188805788755417,0.0009647011756896973,0.0009647011756896973,0.8203799910843372,0.4984594825655222,0.0009313325335296929
40,0.07192089109122753,0.8828983269631863,0.7921792380511761,0.8469601832330227,0.9281658343970776,0.8828978464007378,0.9979314506053925,54.65006384253502,1.885598935186863,0.0015192627906799316,0.0015192627906799316,0.8372126072645187,0.5510694645345211,0.0009295180528663554
41,0.06386848665773869,0.881460752338171,0.7896709367632866,0.8427181206643581,0.9298530258238316,0.8814602792263031,0.9979371726512909,54.275847405195236,1.8870105594396591,0.001543194055557251,0.001543194055557251,0.8486947566270828,0.5719877146184444,0.0009277031785633282
42,0.06190151607990265,0.8906495533883572,0.8041593357920647,0.8649054504930973,0.9228802062571049,0.8906490728259087,0.9980925917625427,53.997325390577316,1.8220980986952782,0.001312851905822754,0.001312851905822754,0.8484006188809872,0.5723334867507219,0.0009258879096791951
43,0.06005343624204397,0.8864845000207424,0.7969721630215645,0.8773291148245335,0.9020008072257042,0.8864840231835842,0.9980671405792236,53.87275084853172,1.7854864448308945,0.001170426607131958,0.001170426607131958,0.8490583710372448,0.5644429288804531,0.0009240722452682321
44,0.06074454832077027,0.8739330172538757,0.7790127247571945,0.8459778167307377,0.9099093191325665,0.8739325553178787,0.9977849721908569,54.56167387962341,2.213147595524788,0.0014099180698394775,0.0014099180698394775,0.8324816823005676,0.5512870941311121,0.0009222561843803788
45,0.059011765241622924,0.8975601308047771,0.8156191185116768,0.8778371512889862,0.923036489635706,0.8975596353411674,0.9982106983661652,53.97801148891449,1.7925895974040031,0.0012082159519195557,0.0012082159519195557,0.8597917929291725,0.5972221754491329,0.0009204397260612089
46,0.06045912451297045,0.8619987107813358,0.7613857313990593,0.8179235458374023,0.9212138764560223,0.8619982451200485,0.9977222084999084,48.644960552453995,6.156221851706505,0.001693129539489746,0.001693129539489746,0.8231975100934505,0.5153736667707562,0.0009186228693518994
47,0.06786521213501692,0.8847271949052811,0.7947789765894413,0.8746092654764652,0.899518258869648,0.8847267217934132,0.997962474822998,54.59358814358711,1.8397578671574593,0.0011886060237884521,0.0011886060237884521,0.8370333351194859,0.5461380425840616,0.0009168056132892021
