epoch,train_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_accuracy,val_hausdorff,lr
1,0.8344929760152643,3.923881775058646e-11,3.923881775058646e-11,4.391245700396951e-11,9.485701335520957e-10,7.980409156448835e-14,0.9876484870910645,312.39191284179685,0.0002
2,0.8205074288628318,1.8031697801568213e-10,1.8031697801568213e-10,2.6623657167768046e-10,9.485701335520957e-10,5.034821226655804e-13,0.9967717170715332,326.8752044677734,0.0004
3,0.8117082742127505,2.0694031488410757e-10,2.0694031488410757e-10,3.167435591588941e-10,9.485701335520957e-10,6.13308785945817e-13,0.9970573425292969,328.2512634277344,0.0006
4,0.8017058670520782,2.8342527907954106e-10,2.8342527907954106e-10,5.001579428398628e-10,9.485701335520957e-10,9.722772757801527e-13,0.9976104736328125,329.54787292480466,0.0008
5,0.7898067290132696,2.8156116327338054e-10,2.8156116327338054e-10,4.904696926377738e-10,9.485701335520957e-10,9.725014820131591e-13,0.9975886344909668,330.5278045654297,0.001
6,0.7752964740449731,3.1607365058583526e-10,3.1607365058583526e-10,5.942915382028957e-10,9.485701335520957e-10,1.1698887681082376e-12,0.9977583885192871,329.4308227539062,0.0009909954834128342
7,0.7592380453239788,3.6698712124749733e-10,3.6698712124749733e-10,7.475147945079641e-10,9.485701335520957e-10,1.5044341098412184e-12,0.997921371459961,330.88963928222654,0.000989193491307027
8,0.7415665333921259,3.7253878176768397e-10,3.7253878176768397e-10,7.832536619289953e-10,9.485701335520957e-10,1.538814401965717e-12,0.9979538917541504,330.84633483886716,0.000987391134388305
9,0.7209651361812245,3.005550266999002e-10,3.005550266999002e-10,5.647432965716348e-10,9.485701335520957e-10,1.0658736642864957e-12,0.997721004486084,328.68471069335936,0.0009855884118426005
10,0.695970892906189,3.899375489169188e-10,3.899375489169188e-10,8.688601282891284e-10,9.485701335520957e-10,1.6570403930287262e-12,0.9980168342590332,332.53362731933595,0.0009837853228523705
11,0.6683361828327179,5.050330681433124e-10,5.050330681433124e-10,1.4649709001446355e-09,9.485701335520957e-10,2.8031084723344203e-12,0.9982401847839355,333.0888732910156,0.0009819818665965754
12,0.6393817338076505,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.0009801780422506556
13,0.6109351515769958,4.594197675067413e-10,4.594197675067413e-10,1.1949537581656954e-09,9.485701335520957e-10,2.2818625922170835e-12,0.9981666564941406,333.33070373535156,0.0009783738489865113
14,0.587445389140736,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.000976569285972478
15,0.5682059174234216,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.0009747643523733044
16,0.5541570132428949,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.0009729590473501306
17,0.5439439605582844,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.0009711533700604632
18,0.5360403088006106,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.0009693473196581535
19,0.5311061252247203,9.485701335520957e-10,9.485701335520957e-10,1.0,9.485701335520957e-10,1.897138410256183e-09,0.9985657691955566,572.656982421875,0.0009675408952933734
