epoch,train_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_accuracy,val_hausdorff,lr
1,0.8174682461298429,0.0027244067669736733,0.0013912313289248896,0.0024284884899258767,0.0031745598164220337,0.0027243515760520883,0.9883426129817963,281.11576747894287,0.0002
2,0.7997976660728454,6.127507344837885e-11,6.127507344837885e-11,3.3100057417190243e-10,7.995131466598249e-11,5.287643756701055e-14,0.9903703927993774,290.10965061187744,0.0004
3,0.7802735365354098,6.831247611853442e-11,6.831247611853442e-11,6.105183823768012e-10,7.995131466598249e-11,9.701581392759654e-14,0.9910306930541992,292.9542646408081,0.0006
4,0.7532959158603961,7.226714083923003e-11,7.226714083923003e-11,1.0009113607378772e-09,7.995131466598249e-11,1.5844312903587365e-13,0.9913355112075806,294.5275468826294,0.0008
5,0.7171844143133898,7.268080592665732e-11,7.268080592665732e-11,1.0576234228676373e-09,7.995131466598249e-11,1.678599060186243e-13,0.9913620054721832,294.52447986602783,0.001
6,0.6763368597397438,7.133772446463876e-11,7.133772446463876e-11,9.145410123645448e-10,7.995131466598249e-11,1.4189582287413012e-13,0.9912893176078796,295.19604110717773,0.0009909954834128342
7,0.6374545647547796,7.995131466598249e-11,7.995131466598249e-11,1.0,7.995131466598249e-11,1.599024773268204e-10,0.9918153584003448,572.656982421875,0.000989193491307027
8,0.5973525890937218,7.995131466598249e-11,7.995131466598249e-11,1.0,7.995131466598249e-11,1.599024773268204e-10,0.9918153584003448,572.656982421875,0.000987391134388305
9,0.5355545140229738,0.42997462023421107,0.29263641033693133,0.48937209137389465,0.41922152648710276,0.42997419275343607,0.9918238818645477,214.02986311912537,0.0009855884118426005
10,0.465436438872264,0.44907110603526235,0.3045537448488176,0.42441914486698806,0.5289772520773113,0.4490706427022815,0.9907243251800537,128.89581394195557,0.0009837853228523705
11,0.42149151196846596,0.3773133805952966,0.24481272301636636,0.2732577722053975,0.7286368403583765,0.37731302808970213,0.9819789230823517,131.76090335845947,0.0009819818665965754
12,0.37642969282773825,0.40548036518885056,0.26917692762071965,0.33401097550813574,0.5930958480021218,0.40547994395456044,0.9871541559696198,129.87960410118103,0.0009801780422506556
13,0.3639682047642194,0.42644723993726075,0.2866737360600382,0.3346625806298107,0.6795121757313609,0.426446839235723,0.9866056740283966,131.16171884536743,0.0009783738489865113
14,0.3498822209926752,0.4445665574967279,0.30329551531394827,0.3803361135687737,0.6002098531316733,0.44456612476642476,0.9889651834964752,129.04991936683655,0.000976569285972478
15,0.3494378977096998,0.40026474511250854,0.2630574486684054,0.30899614468216896,0.6649308325722814,0.4002643460407853,0.9855923652648926,135.89087915420532,0.0009747643523733044
16,0.34533589482307436,0.4414038995746523,0.2982835521688685,0.3826320277294144,0.5858543757349253,0.44140347582288086,0.989186555147171,130.12908154726028,0.0009729590473501306
17,0.34269677515213304,0.4431386021897197,0.2989203179022297,0.35149803734384477,0.682651405222714,0.4431382061447948,0.9873829782009125,133.34761810302734,0.0009711533700604632
18,0.3402205976156088,0.4928082665428519,0.34675678447820246,0.4702919584233314,0.5675307605415583,0.4928078171797097,0.9915257692337036,120.47415727376938,0.0009693473196581535
19,0.3299502611160278,0.48518412793055177,0.3375923717394471,0.44759320898447186,0.5809823963791132,0.4851836683228612,0.9910348653793335,123.59787607192993,0.0009675408952933734
20,0.3395600708631369,0.4713415270690945,0.326081559529635,0.428082657049093,0.5773523566409257,0.4713410940021284,0.990387350320816,128.23285377025604,0.0009657340961125918
21,0.3317243702136553,0.5095294117927551,0.35861103888601065,0.4532516223844141,0.6369087975472212,0.5095289684832096,0.9910109341144562,124.59021550416946,0.0009639269212585509
22,0.32451371894432945,0.44948325492441654,0.30431211832910776,0.33876771479845047,0.7615574691444635,0.44948287960141897,0.9864253401756287,131.65445280075073,0.0009621193698702417
23,0.3297219835794889,0.4812063667923212,0.3315012608654797,0.3913418292067945,0.7045383378863335,0.4812059421092272,0.9890725612640381,130.40215873718262,0.0009603114410828803
24,0.3193039160508376,0.45681367348879576,0.31318368786014616,0.4177056713961065,0.5444303313270211,0.4568132101558149,0.9905327558517456,129.50006353855133,0.0009585031340278833
25,0.32520546592198885,0.5052814760711044,0.35587320069316775,0.4681600318290293,0.5941727226600051,0.5052810157649219,0.9914293587207794,124.67792022228241,0.0009566944478328421
26,0.31091483602157005,0.5045040687546134,0.35429403628222644,0.44421271653845906,0.6302977362647653,0.5045036221854389,0.9910154938697815,121.28891444206238,0.0009548853816214997
27,0.3162680786389571,0.5047159588320937,0.35971694102954643,0.5052008344355272,0.5372077786596492,0.5047154951971606,0.9922054409980774,117.79785370826721,0.0009530759345137246
28,0.3077537389901968,0.5239177783951163,0.37283219723030925,0.46802363777533174,0.6375648211687803,0.5239173211157322,0.9914693236351013,121.53202444314957,0.0009512661056254851
