epoch,train_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_accuracy,val_hausdorff,val_hausdorff_95,val_fp_per_volume,val_fp_per_image,val_ap,val_mAP,lr
1,0.48840569160305536,1.6379859728192608e-10,1.6379859728192608e-10,1.3091655985782051e-09,2.396367623566867e-10,7.442040119524855e-13,0.9937949180603027,318.0535659790039,294.51787919264575,0.00037870040306678187,0.00037870040306678187,0.006277688700020707,0.0,0.0002
2,0.3360323223930139,2.1577396013101774e-10,2.1577396013101774e-10,9.375685732056109e-09,2.396367623566867e-10,4.482498815570677e-12,0.9941141238579383,316.61561291034405,292.8849839430589,5.9494605431189906e-05,5.9494605431189906e-05,0.0066774649139216095,0.0,0.0004
3,0.21479239157186106,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.01195360113510665,0.0,0.0006
4,0.12914276896761015,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.005807849428003045,0.0,0.0008
5,0.08226076355920388,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.010793787953132307,0.0,0.001
6,0.06154290633276105,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.06059353922634395,0.0,0.0009909954834128342
7,0.050991607220986716,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.17065582584434827,0.0,0.000989193491307027
8,0.04236079080818364,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.22850256940784255,0.00570009620143817,0.000987391134388305
9,0.03815999568010179,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.26451640821322026,0.001853962787068807,0.0009855884118426005
10,0.03586397555549271,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.15288258903373075,0.004191715843402422,0.0009837853228523705
11,0.03269291735397509,2.396367623566867e-10,2.396367623566867e-10,1.0,2.396367623566867e-10,4.792730684810992e-10,0.9941736184633695,572.656982421875,572.656982421875,0.0,0.0,0.1894779079946322,0.004166525143843431,0.0009819818665965754
