epoch,train_loss,val_dice,val_iou,val_precision,val_recall,val_f1,val_accuracy,val_hausdorff,val_hausdorff_95,val_fp_per_volume,val_fp_per_image,val_ap,val_mAP,lr
1,0.6669683208465577,2.2528647484463965e-10,2.2528647484463965e-10,3.2450467464654894e-09,3.6124963303253835e-10,2.1674848180159367e-12,0.9919037602164529,282.7487838051536,239.7634638006037,0.00020644881508567116,0.00020644881508567116,0.06655816766777373,0.0,0.0002
2,0.555633226275444,2.4154293298765043e-10,2.4154293298765043e-10,5.445060644795128e-09,3.6124963303253835e-10,2.749306525293709e-12,0.9920104416933927,285.98617068204015,244.67908339066938,9.976733814586292e-05,9.976733814586292e-05,0.04864473986328283,0.0,0.0004
3,0.4757729659080505,0.31135712827957956,0.21529278283409561,0.29936947666914854,0.386841232227029,0.3113568149168731,0.9881757606159557,142.6305441422896,103.38906010714445,0.0071011239832097835,0.0071011239832097835,0.2893259688401764,0.032167692076076164,0.0006
4,0.41095204573869704,0.3377561516326877,0.24090125591954123,0.30383396073416774,0.466710332700915,0.33775584100990613,0.9858953519300981,141.79942287098277,94.52063629843973,0.010989796031605114,0.010989796031605114,0.3147591363513067,0.04708934067325159,0.0008
5,0.3881996482312679,0.13094582820712106,0.09070445632454961,0.2511120990743883,0.10150542105054584,0.13094565611007736,0.9910743670030073,129.7923835407604,92.07684394446287,0.0018729730085893111,0.0018729730085893111,0.11344010275074239,0.01886431872844696,0.001
6,0.36659680053591726,0.3416311180498171,0.23490821939551604,0.3211481495644036,0.473588960903504,0.34163077869879654,0.9877966534007679,133.47968127510765,92.9585521437905,0.007972088727084074,0.007972088727084074,0.3165609265084971,0.02576798488470641,0.0009909954834128342
7,0.35074311769008637,0.4352293642094967,0.32377923372974776,0.4631724671087645,0.46942543025256783,0.4352290090809133,0.9925758838653564,96.03107339685613,46.233298475092106,0.0032496885819868608,0.0032496885819868608,0.41634863428771496,0.07325296679680998,0.000989193491307027
8,0.3276506781578064,0.3777526491347778,0.27435667734505453,0.3401408749478408,0.536384430448081,0.3777523315167867,0.9874907190149481,130.95655688372526,85.10742341388355,0.009211973710493608,0.009211973710493608,0.33014274801065435,0.056878626346588135,0.000987391134388305
9,0.31388548159599305,0.32464673506876035,0.2239797951951734,0.35573391922923314,0.37525825536736995,0.32464642280885997,0.9898461645299738,114.46486009250988,65.88227821480145,0.004748842932961204,0.004748842932961204,0.25982774668020947,0.028132219206203114,0.0009855884118426005
10,0.30105991041660307,0.3946689005063336,0.29231461624684296,0.355288828617149,0.5055967562617841,0.39466858933554844,0.989180716601285,111.18770538676868,66.34118524464694,0.0074898112903941765,0.0074898112903941765,0.3529520204163377,0.07273378815840591,0.0009837853228523705
11,0.291295568048954,0.29371199946828563,0.2074308074873114,0.48515887227539894,0.2622096734550133,0.2937117218972445,0.9924780672246759,110.83555791594766,56.03053309700706,0.001499154350974343,0.001499154350974343,0.2558054151251616,0.035885308953848755,0.0009819818665965754
12,0.279357712328434,0.48993512109282106,0.36298528044421324,0.5537183887763457,0.5074631581253134,0.4899347478693903,0.9935501272028143,95.57786577398127,33.822145050222225,0.002313852310180664,0.002313852310180664,0.43654045022346755,0.08220707100223411,0.0009801780422506556
13,0.25017065501213076,0.49678316499174424,0.37531447515718147,0.46061028256335296,0.5986378140771814,0.4967828121335183,0.9928422407670454,119.6593563339927,59.613060452721335,0.004074638540094549,0.004074638540094549,0.4398919031082187,0.08335074240511114,0.0009783738489865113
14,0.22928115212917327,0.5540701002119449,0.42984859783200735,0.5471190200873732,0.5953411449297371,0.5540697249500179,0.9941756725311279,97.25874324278398,34.90963435173035,0.0030656077645041728,0.0030656077645041728,0.4929332299665971,0.13432681882245975,0.000976569285972478
15,0.20696746569871902,0.5722071711633964,0.4556404704718698,0.5984946950285157,0.5829144339881623,0.5722067904744544,0.9953966574235396,92.4522462758151,22.026405702937733,0.0021359703757546163,0.0021359703757546163,0.529351941394535,0.16732840798795223,0.0009747643523733044
16,0.1968126097470522,0.525136218877035,0.4038776017016598,0.47817333709747234,0.6573410433764958,0.5251358413020415,0.9931713234294545,99.96135637976907,57.71036241271279,0.0047858845103870735,0.0047858845103870735,0.4669958652309354,0.12187467701733112,0.0009729590473501306
17,0.19708949360251427,0.6215129684557977,0.505990583812243,0.5998895263401406,0.6676786761604036,0.6215125864203371,0.9953411058946089,106.96337379108776,26.083182670853354,0.0029833533547141337,0.0029833533547141337,0.5817462666468187,0.1960876172577793,0.0009711533700604632
18,0.17512095074355602,0.5753976127203978,0.4626022103398446,0.5446401252262232,0.6507429429287723,0.5753972415220608,0.9949119307778098,111.78019584308971,32.57130368189378,0.0033827911723743787,0.0033827911723743787,0.5178854770281098,0.18351605907082558,0.0009693473196581535
19,0.1685315237492323,0.5672742515125768,0.4563322487880593,0.5884159093499133,0.5771827257026788,0.5672738806093927,0.9959230856461958,118.49492233449763,42.15572332252156,0.0018676194277676668,0.0018676194277676668,0.5181341931562532,0.17664731260050426,0.0009675408952933734
20,0.16955781802535058,0.5818072675986904,0.4683891744517224,0.513326532063613,0.6941515399233318,0.5818068858936013,0.9949176961725409,104.27279754118486,41.53129484436729,0.004022186452692205,0.004022186452692205,0.5384498703642748,0.2039622969248078,0.0009657340961125918
21,0.14898504836857318,0.5915270285469497,0.4855071052528173,0.5527257161050169,0.6696784377309872,0.5915266495537933,0.9953285130587491,84.07433147863908,28.278450402346525,0.0033811222423206677,0.0033811222423206677,0.5368565566499125,0.2187907611104575,0.0009639269212585509
22,0.15339627853035928,0.6076946421751389,0.49762409616895303,0.5513149017361244,0.7195607573603837,0.6076942792451523,0.9951462312178179,90.4083960273049,34.19328875975175,0.0037751197814941406,0.0037751197814941406,0.5643206197984744,0.21597460843622684,0.0009621193698702417
23,0.13295132102072238,0.629511060629433,0.5203963975760999,0.5865021633019777,0.7062350247357174,0.629510679971587,0.9960726607929576,87.38153360106729,27.92672039162029,0.002789020538330078,0.002789020538330078,0.5852253880207585,0.2350151887671514,0.0009603114410828803
24,0.13787006604671478,0.5982436781980154,0.5047335333845212,0.5684943578961406,0.6434182317770619,0.5982433083384048,0.9957337596199729,92.01801139658147,31.0551255995577,0.0031267079440030184,0.0031267079440030184,0.5703537432457789,0.2662435019896789,0.0009585031340278833
25,0.1272224621027708,0.638361505529278,0.535567350728126,0.6443311599805637,0.6651987327982541,0.6383611410858014,0.9963171482086182,83.34818608110601,23.648581732403148,0.0021054094487970524,0.0021054094487970524,0.590797904540192,0.26775574684143066,0.0009566944478328421
26,0.1238094009757042,0.6195733726858914,0.5122533807243465,0.5668325140240019,0.712584425670396,0.6195729872509692,0.9959459738297896,89.13578614321622,38.30039130015807,0.0030492219057950106,0.0030492219057950106,0.6007365943514742,0.24951350045475093,0.0009548853816214997
27,0.11859307804703713,0.6402214142663438,0.5410580946894735,0.6009408269704198,0.7138624708972657,0.6402210268108269,0.9961634115739302,99.0976454561407,33.763901672580026,0.0028078122572465377,0.0028078122572465377,0.6043262400410392,0.3033550164916299,0.0009530759345137246
