model_a,model_b,spearman_rho,p_value,p_formatted
nnU-Net,Attention,0.49848254581765294,0.14251791767625302,0.143
nnU-Net,U-Net BCE,0.5714312110592608,0.08441186126257023,0.084
Attention,U-Net BCE,0.5272727272727272,0.11730806555020232,0.117
