# ==========================================================================
# RECONSTRUCTED training log  --  Attention_UNet  --  Dataset_large_tumor
# Source: logs/metrics.csv (+ run_config.json, run_summary.json)
# The original console log was not persisted for this architecture.
# Per-epoch values below are EXACT (from metrics.csv).
# Per-epoch wall-clock timestamps were not recorded and are omitted.
# Line format matches UNet_BCE train.log for cross-model comparison.
# ==========================================================================
[INFO] Model: AttentionUNet3D | params=35.575M
[INFO] System: NVIDIA GeForce RTX 4070 Ti SUPER | torch=2.5.1+cu124 | cuda=12.4
[INFO] Config: epochs=500, batch_size=1, lr=0.001, loss=dice_ce, scheduler=poly, seed=42, amp=True
[INFO] Loaded 65 train / 16 val studies
Epoch 040/500 | train_loss=0.2979 | val_dice=0.5047 | val_iou=0.3541 | val_f1=0.5047 | val_acc=0.9899 | lr=0.000930
Epoch 041/500 | train_loss=0.2987 | val_dice=0.5515 | val_iou=0.3990 | val_f1=0.5515 | val_acc=0.9923 | lr=0.000928
Epoch 042/500 | train_loss=0.2929 | val_dice=0.5688 | val_iou=0.4151 | val_f1=0.5688 | val_acc=0.9926 | lr=0.000926
Epoch 043/500 | train_loss=0.2777 | val_dice=0.5186 | val_iou=0.3639 | val_f1=0.5186 | val_acc=0.9902 | lr=0.000924
Epoch 044/500 | train_loss=0.2816 | val_dice=0.5149 | val_iou=0.3634 | val_f1=0.5149 | val_acc=0.9911 | lr=0.000922
Epoch 045/500 | train_loss=0.2842 | val_dice=0.5164 | val_iou=0.3611 | val_f1=0.5164 | val_acc=0.9895 | lr=0.000920
Epoch 046/500 | train_loss=0.2861 | val_dice=0.5290 | val_iou=0.3748 | val_f1=0.5290 | val_acc=0.9908 | lr=0.000919
Epoch 047/500 | train_loss=0.2940 | val_dice=0.5222 | val_iou=0.3672 | val_f1=0.5222 | val_acc=0.9906 | lr=0.000917
Epoch 048/500 | train_loss=0.2737 | val_dice=0.5619 | val_iou=0.4079 | val_f1=0.5619 | val_acc=0.9920 | lr=0.000915
Epoch 049/500 | train_loss=0.2791 | val_dice=0.5425 | val_iou=0.3914 | val_f1=0.5425 | val_acc=0.9920 | lr=0.000913
Epoch 050/500 | train_loss=0.2670 | val_dice=0.5352 | val_iou=0.3850 | val_f1=0.5352 | val_acc=0.9917 | lr=0.000911
Epoch 051/500 | train_loss=0.2718 | val_dice=0.5348 | val_iou=0.3831 | val_f1=0.5348 | val_acc=0.9913 | lr=0.000910
Epoch 052/500 | train_loss=0.2779 | val_dice=0.5686 | val_iou=0.4148 | val_f1=0.5686 | val_acc=0.9916 | lr=0.000908
Epoch 053/500 | train_loss=0.2697 | val_dice=0.5852 | val_iou=0.4330 | val_f1=0.5852 | val_acc=0.9931 | lr=0.000906
Epoch 054/500 | train_loss=0.2678 | val_dice=0.5550 | val_iou=0.4001 | val_f1=0.5550 | val_acc=0.9912 | lr=0.000904
Epoch 055/500 | train_loss=0.2822 | val_dice=0.5560 | val_iou=0.4014 | val_f1=0.5560 | val_acc=0.9917 | lr=0.000902
Epoch 056/500 | train_loss=0.2731 | val_dice=0.5671 | val_iou=0.4148 | val_f1=0.5671 | val_acc=0.9923 | lr=0.000900
Epoch 057/500 | train_loss=0.2710 | val_dice=0.5515 | val_iou=0.4020 | val_f1=0.5515 | val_acc=0.9931 | lr=0.000899
Epoch 058/500 | train_loss=0.2741 | val_dice=0.5362 | val_iou=0.3789 | val_f1=0.5362 | val_acc=0.9906 | lr=0.000897
Epoch 059/500 | train_loss=0.2686 | val_dice=0.5555 | val_iou=0.4060 | val_f1=0.5555 | val_acc=0.9929 | lr=0.000895
Epoch 060/500 | train_loss=0.2628 | val_dice=0.5473 | val_iou=0.3931 | val_f1=0.5473 | val_acc=0.9910 | lr=0.000893
Epoch 061/500 | train_loss=0.2698 | val_dice=0.5646 | val_iou=0.4121 | val_f1=0.5646 | val_acc=0.9918 | lr=0.000891
Epoch 062/500 | train_loss=0.2555 | val_dice=0.5451 | val_iou=0.3942 | val_f1=0.5451 | val_acc=0.9917 | lr=0.000889
Epoch 063/500 | train_loss=0.2583 | val_dice=0.5421 | val_iou=0.3946 | val_f1=0.5421 | val_acc=0.9925 | lr=0.000888
Epoch 064/500 | train_loss=0.2671 | val_dice=0.5522 | val_iou=0.4022 | val_f1=0.5522 | val_acc=0.9912 | lr=0.000886
Epoch 065/500 | train_loss=0.2746 | val_dice=0.5548 | val_iou=0.4092 | val_f1=0.5548 | val_acc=0.9924 | lr=0.000884
Epoch 066/500 | train_loss=0.2685 | val_dice=0.5553 | val_iou=0.4015 | val_f1=0.5553 | val_acc=0.9912 | lr=0.000882
Epoch 067/500 | train_loss=0.2720 | val_dice=0.5546 | val_iou=0.4080 | val_f1=0.5546 | val_acc=0.9923 | lr=0.000880
