metric,n,k_methods,chi2,df,p_value,p_formatted,role
Dice,10,4,8.27272727272727,3,0.040699027028180394,0.041,primary
IoU,10,4,8.27272727272727,3,0.040699027028180394,0.041,secondary
Precision,10,4,4.757575757575766,3,0.19043399079886364,0.190,secondary
Recall,10,4,17.060606060606048,3,0.0006867452194318099,< 0.001,secondary
